id,Key_phrases,ID,type
11b9bfe1b9b46a6fb5f5c4216dc236d9,"Re-up Preloved printer",17,"Key_phrases"
e5b892b0c30513401d2f205234bbb4bd,"Preloved printer",17,"Key_phrases"
75c65dd83ccf5d043b9c4e6c613f33e1,"masih normal tinggal",17,"Key_phrases"
243b6789c4c66530c8045701aab43307,"tinggal ganti catrid",17,"Key_phrases"
3b0deb172486b2529fba47f8df153d33,"Preloved",17,"Key_phrases"
7c4843cb75ec343983db7f3d0321e274,"masih normal",17,"Key_phrases"
5018e8155376d4b076daee84944c7bb7,"ganti catrid",17,"Key_phrases"
34ec29ebe1091faccca3b5a3316df25b,"printer",17,"Key_phrases"
17aeece8fb4e51f639c26bd96b38a70b,"Start",17,"Key_phrases"
91a7221731619ce7cb1c20a6e4a88149,"Re-up",17,"Key_phrases"
1f67e65df8f654aa7b9b82a32e4fae0a,"masih",17,"Key_phrases"
ff8f3ca6d01cb70adf67d57b110ab7f6,"catrid",17,"Key_phrases"
f17c87611f321db6e77ac7bb2a062b97,"normal tinggal ganti",17,"Key_phrases"
dc854498f8f11f5eb8b35ac0727fce2b,"normal tinggal",17,"Key_phrases"
980962369c5ae3b0d1ea9c953dd7ed47,"tinggal ganti",17,"Key_phrases"
6a7d5aeea327131f9eb205ffc270fcb8,"Cuma printer",17,"Key_phrases"
1f188f60e20295776d39eed725acfd49,"Cuma",17,"Key_phrases"
db1e1a55d414f8ade750b1d06906e441,"kabel",17,"Key_phrases"
00c4b03cfb5473600e0401e9662cafa2,"Ink Cartridge Officejet",18,"Key_phrases"
a44b0e25eda736105d7e44e21a805eca,"Printer Cartridge Replacement",18,"Key_phrases"
8b2dd5d60714b7aa4dc911d0e2dc51c2,"Ink Cartridge",18,"Key_phrases"
7ef84ca5f5b992e4c3353c9aa3dad5a5,"Cartridge Officejet",18,"Key_phrases"
e9319c3b2ddc5e70f5b0a19ec582dc1e,"Printer Cartridge",18,"Key_phrases"
3c2819e2ba3ad6d48e60315649383e79,"Cartridge Replacement",18,"Key_phrases"
c53ce2c2a59461749d3dbbe04d318e35,"Black",18,"Key_phrases"
980bb597e1fc8060075a93b72151770a,"befon",18,"Key_phrases"
a3b10b3e34a01f942046d069a456e690,"Ink",18,"Key_phrases"
707c9116b94231e940e6daca58868de0,"Officejet",18,"Key_phrases"
e049ff41a023592921161d5153d917cd,"Cartridge",18,"Key_phrases"
14715c2db9b7633b93d75389170fd91c,"Printer",18,"Key_phrases"
51ce3f983e011e6b6d7f4262a0d96c8a,"Replacement",18,"Key_phrases"
af6f3196f7934b1e3e8a8ae2e2c8936b,"Ink Cartridge Replacement",19,"Key_phrases"
5053c6b188814aeb6f890b13b1248b61,"Mambaink Ink Cartridge",19,"Key_phrases"
43f40a653d452250799b76a230d86a8a,"Ink Cartridge",19,"Key_phrases"
